N;time
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;11
10000;11
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;11
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;11
10000;10
10000;10
10000;11
10000;11
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;9
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;9
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
10000;10
20000;21
20000;20
20000;20
20000;20
20000;20
20000;21
20000;21
20000;20
20000;21
20000;25
20000;24
20000;22
20000;21
20000;21
20000;22
20000;21
20000;20
20000;20
20000;20
20000;20
20000;20
20000;21
20000;21
20000;21
20000;21
20000;20
20000;20
20000;21
20000;21
20000;21
20000;20
20000;21
20000;20
20000;21
20000;20
20000;22
20000;21
20000;20
20000;21
20000;20
20000;21
20000;21
20000;21
20000;21
20000;21
20000;21
20000;22
20000;21
20000;25
20000;28
20000;23
20000;21
20000;20
20000;21
20000;22
20000;22
20000;20
20000;21
20000;21
20000;21
20000;21
20000;20
20000;20
20000;20
20000;20
20000;20
20000;20
20000;20
20000;20
20000;21
20000;22
20000;24
20000;26
20000;23
20000;23
20000;21
20000;22
20000;21
20000;21
20000;20
20000;20
20000;20
20000;20
20000;21
20000;21
20000;21
20000;21
20000;21
20000;20
20000;20
20000;21
20000;21
20000;21
20000;21
20000;20
20000;21
20000;20
20000;21
20000;21
20000;22
30000;32
30000;31
30000;31
30000;31
30000;32
30000;31
30000;31
30000;30
30000;31
30000;31
30000;30
30000;31
30000;32
30000;31
30000;31
30000;31
30000;31
30000;30
30000;31
30000;30
30000;30
30000;31
30000;30
30000;30
30000;30
30000;30
30000;31
30000;31
30000;31
30000;32
30000;31
30000;31
30000;31
30000;31
30000;31
30000;30
30000;32
30000;31
30000;31
30000;30
30000;32
30000;30
30000;32
30000;30
30000;31
30000;31
30000;30
30000;31
30000;30
30000;32
30000;32
30000;37
30000;35
30000;30
30000;31
30000;32
30000;32
30000;31
30000;31
30000;38
30000;38
30000;34
30000;33
30000;30
30000;30
30000;31
30000;32
30000;34
30000;33
30000;30
30000;31
30000;30
30000;31
30000;31
30000;31
30000;33
30000;33
30000;31
30000;32
30000;30
30000;31
30000;31
30000;31
30000;36
30000;37
30000;32
30000;32
30000;31
30000;32
30000;32
30000;39
30000;35
30000;32
30000;31
30000;31
30000;31
30000;31
30000;31
30000;32
30000;34
40000;41
40000;41
40000;41
40000;45
40000;46
40000;43
40000;44
40000;45
40000;44
40000;43
40000;43
40000;41
40000;42
40000;41
40000;43
40000;42
40000;40
40000;41
40000;41
40000;42
40000;44
40000;42
40000;42
40000;42
40000;41
40000;42
40000;42
40000;44
40000;43
40000;42
40000;42
40000;42
40000;42
40000;42
40000;41
40000;41
40000;41
40000;40
40000;41
40000;41
40000;40
40000;39
40000;42
40000;40
40000;40
40000;41
40000;39
40000;40
40000;41
40000;39
40000;39
40000;40
40000;40
40000;41
40000;39
40000;42
40000;40
40000;40
40000;39
40000;40
40000;41
40000;41
40000;40
40000;40
40000;41
40000;40
40000;41
40000;40
40000;40
40000;41
40000;41
40000;41
40000;41
40000;40
40000;40
40000;40
40000;40
40000;42
40000;41
40000;41
40000;40
40000;40
40000;41
40000;42
40000;40
40000;42
40000;41
40000;41
40000;42
40000;40
40000;39
40000;41
40000;41
40000;41
40000;42
40000;40
40000;39
40000;39
40000;41
40000;40
50000;51
50000;52
50000;51
50000;50
50000;52
50000;52
50000;52
