N;time
1000;640
1000;616
1000;613
1000;608
1000;607
1000;609
1000;607
1000;608
1000;610
1000;606
1000;607
1000;607
1000;609
1000;609
1000;609
1000;613
1000;610
1000;609
1000;612
1000;610
1000;611
1000;611
1000;611
1000;649
1000;659
1000;660
1000;666
1000;628
1000;669
1000;666
1000;679
1000;688
1000;640
1000;650
1000;636
1000;627
1000;619
1000;631
1000;630
1000;631
1000;679
1000;676
1000;650
1000;624
1000;626
1000;633
1000;639
1000;634
1000;632
1000;609
1000;607
1000;609
1000;672
1000;629
1000;626
1000;676
1000;671
1000;684
1000;684
1000;684
1000;624
1000;627
1000;631
1000;669
1000;673
1000;628
1000;637
1000;633
1000;620
1000;613
1000;617
1000;625
1000;635
1000;667
1000;615
1000;648
1000;632
1000;668
1000;667
1000;680
1000;646
1000;664
1000;651
1000;662
1000;649
1000;644
1000;668
1000;653
1000;651
1000;688
1000;696
1000;661
1000;674
1000;651
1000;647
1000;646
1000;626
1000;630
1000;675
1000;628
2000;714
2000;707
2000;704
2000;702
2000;702
2000;701
2000;701
2000;700
2000;700
2000;668
2000;642
2000;642
2000;642
2000;643
2000;654
2000;680
2000;665
2000;647
2000;707
2000;657
2000;700
2000;685
2000;659
2000;686
2000;687
2000;688
2000;694
2000;693
2000;713
2000;679
2000;681
2000;659
2000;665
2000;667
2000;654
2000;656
2000;713
2000;732
2000;733
2000;712
2000;706
2000;705
2000;718
2000;714
2000;708
2000;703
2000;685
2000;732
2000;655
2000;672
2000;660
2000;667
2000;659
2000;670
2000;654
2000;656
2000;659
2000;666
2000;667
2000;689
2000;661
2000;660
2000;666
2000;675
2000;755
2000;729
2000;707
2000;674
2000;664
2000;713
2000;657
2000;670
2000;669
2000;682
2000;668
2000;702
2000;683
2000;682
2000;692
2000;665
2000;663
2000;668
2000;660
2000;657
2000;654
2000;658
2000;671
2000;667
2000;665
2000;710
2000;669
2000;654
2000;652
2000;653
2000;644
2000;638
2000;640
2000;652
2000;644
2000;652
3000;674
3000;678
3000;707
3000;663
3000;676
3000;677
3000;681
3000;680
3000;687
3000;728
3000;688
3000;699
3000;715
3000;692
3000;736
3000;731
3000;689
3000;698
3000;697
3000;695
3000;688
3000;680
3000;670
3000;659
3000;686
3000;680
3000;707
3000;688
3000;667
3000;668
3000;679
3000;780
3000;675
3000;666
3000;678
3000;673
3000;665
3000;656
3000;655
3000;719
3000;685
3000;691
3000;729
3000;750
3000;709
3000;710
3000;673
3000;697
3000;715
3000;680
3000;672
3000;663
3000;656
3000;712
3000;713
3000;692
3000;686
3000;753
3000;684
3000;685
3000;730
3000;742
3000;673
3000;698
3000;716
3000;742
3000;709
3000;729
3000;705
3000;690
3000;679
3000;733
3000;746
3000;737
3000;744
3000;735
3000;726
3000;678
3000;729
3000;702
3000;661
3000;663
3000;664
3000;678
3000;671
3000;704
3000;738
3000;733
3000;719
3000;665
3000;665
3000;746
3000;713
3000;692
3000;685
3000;742
3000;702
3000;676
3000;711
3000;729
4000;715
4000;698
4000;755
4000;705
4000;683
4000;694
4000;695
4000;731
4000;733
4000;676
4000;682
4000;681
4000;705
4000;716
4000;695
4000;711
4000;713
4000;707
4000;717
4000;710
4000;768
4000;806
4000;761
4000;728
4000;714
4000;704
4000;785
4000;721
4000;715
4000;725
4000;721
4000;731
4000;698
4000;701
4000;714
4000;706
4000;718
4000;704
4000;712
4000;714
4000;707
4000;747
4000;757
4000;753
4000;756
4000;724
4000;710
4000;762
4000;713
4000;709
4000;692
4000;711
4000;744
4000;733
4000;745
4000;748
4000;760
4000;740
4000;737
4000;712
4000;721
4000;723
4000;715
4000;707
4000;745
4000;771
4000;773
4000;759
4000;714
4000;686
4000;698
4000;699
4000;695
4000;748
4000;735
4000;693
4000;720
4000;724
4000;688
4000;700
4000;700
4000;748
4000;752
4000;751
4000;708
4000;712
4000;753
4000;792
4000;690
4000;719
4000;718
4000;782
4000;767
4000;753
4000;710
4000;725
4000;784
4000;735
4000;695
4000;698
5000;716
5000;717
5000;716
5000;741
5000;743
5000;752
5000;722
5000;747
5000;742
5000;715
5000;716
5000;710
5000;703
5000;710
5000;751
5000;720
5000;715
5000;701
5000;716
5000;717
5000;725
5000;711
5000;749
5000;726
5000;701
5000;742
5000;707
5000;701
5000;710
5000;714
5000;715
5000;726
5000;716
5000;821
5000;755
5000;701
5000;697
5000;693
5000;715
5000;728
5000;723
5000;736
5000;802
5000;781
5000;787
5000;788
5000;792
5000;786
5000;787
5000;778
5000;773
5000;770
5000;767
5000;768
5000;726
5000;755
5000;822
5000;784
5000;777
5000;776
5000;796
5000;783
5000;738
5000;706
5000;695
5000;696
5000;724
5000;727
5000;711
5000;706
5000;715
5000;710
5000;719
5000;728
5000;720
5000;705
5000;704
5000;711
5000;722
5000;770
5000;768
5000;700
5000;703
5000;704
5000;754
5000;695
5000;693
5000;693
5000;693
5000;693
5000;695
5000;708
5000;724
5000;734
5000;726
5000;730
5000;728
5000;722
5000;724
5000;714
6000;742
6000;763
6000;710
6000;726
6000;720
6000;768
6000;776
6000;774
6000;769
6000;762
6000;715
6000;721
6000;721
6000;720
6000;827
6000;784
6000;720
6000;721
6000;790
6000;749
6000;712
6000;769
6000;778
6000;718
6000;713
6000;749
6000;779
6000;709
6000;743
6000;783
6000;786
6000;728
6000;775
6000;792
6000;792
6000;887
6000;800
6000;792
6000;737
6000;736
6000;732
6000;710
6000;721
6000;718
6000;723
6000;733
6000;733
6000;739
6000;724
6000;770
6000;737
6000;716
6000;711
6000;765
6000;762
6000;739
6000;722
6000;743
6000;731
6000;717
6000;713
6000;728
6000;763
6000;734
6000;734
6000;776
6000;772
6000;767
6000;742
6000;732
6000;714
6000;710
6000;771
6000;797
6000;770
6000;773
6000;715
6000;727
6000;821
6000;779
6000;726
6000;772
6000;710
6000;723
6000;787
6000;766
6000;751
6000;741
6000;739
6000;739
6000;732
6000;784
6000;792
6000;788
6000;766
6000;735
6000;806
6000;728
6000;723
6000;730
7000;773
7000;777
7000;748
7000;727
7000;766
7000;739
7000;751
7000;831
7000;967
7000;843
7000;800
7000;800
7000;838
7000;762
7000;765
7000;761
7000;758
7000;766
7000;755
7000;764
7000;752
7000;756
7000;792
7000;799
7000;781
7000;765
7000;745
7000;748
7000;734
7000;731
7000;734
7000;801
7000;809
7000;773
7000;813
7000;807
7000;800
7000;795
7000;783
7000;794
7000;722
7000;722
7000;723
7000;723
7000;720
7000;716
7000;720
7000;718
7000;771
7000;762
7000;742
7000;737
7000;738
7000;745
7000;750
7000;736
7000;737
7000;803
7000;743
7000;775
7000;767
7000;820
7000;805
7000;803
7000;813
7000;773
7000;737
7000;733
7000;761
7000;784
7000;797
7000;749
7000;744
7000;809
7000;757
7000;727
7000;734
7000;784
7000;796
7000;797
7000;800
7000;778
7000;734
7000;728
7000;725
7000;725
7000;736
7000;780
7000;737
7000;735
7000;766
7000;811
7000;815
7000;815
7000;809
7000;797
7000;783
7000;725
7000;748
7000;739
8000;745
8000;739
8000;798
8000;758
8000;763
8000;747
8000;738
8000;737
8000;751
8000;764
8000;760
8000;761
8000;762
8000;759
8000;756
8000;784
8000;775
8000;794
8000;759
8000;737
8000;738
8000;731
8000;862
8000;786
8000;750
8000;754
8000;813
8000;827
8000;795
8000;819
8000;759
8000;786
8000;743
8000;776
8000;756
8000;757
8000;755
8000;763
8000;774
8000;810
8000;782
8000;753
8000;804
8000;734
8000;732
8000;731
8000;731
8000;730
8000;732
8000;730
8000;751
8000;804
8000;783
8000;766
8000;819
8000;802
8000;764
8000;745
8000;767
8000;767
8000;763
8000;747
8000;800
8000;793
8000;790
8000;768
8000;769
8000;751
8000;755
8000;775
8000;729
8000;756
8000;821
8000;814
8000;810
8000;802
8000;812
8000;882
8000;777
8000;756
8000;749
8000;746
8000;733
8000;743
8000;783
8000;778
8000;751
8000;768
8000;780
8000;734
8000;732
8000;731
8000;760
8000;820
8000;801
8000;773
8000;796
8000;844
8000;772
8000;761
9000;789
9000;766
9000;757
9000;762
9000;754
9000;796
9000;846
9000;823
9000;848
9000;825
9000;783
9000;800
9000;785
9000;768
9000;767
9000;765
9000;759
9000;753
9000;780
9000;797
9000;848
9000;784
9000;762
9000;769
9000;817
9000;823
9000;786
9000;768
9000;827
9000;792
9000;755
9000;792
9000;815
9000;776
9000;769
9000;765
9000;787
9000;817
9000;824
9000;825
9000;826
9000;785
9000;764
9000;842
9000;789
9000;817
9000;831
9000;837
9000;826
9000;820
9000;860
9000;845
9000;799
9000;754
9000;812
9000;797
9000;787
9000;818
9000;845
9000;827
9000;815
9000;818
9000;770
9000;771
9000;752
9000;774
9000;766
9000;803
9000;829
9000;776
9000;765
9000;860
9000;757
9000;740
9000;730
9000;732
9000;731
9000;731
9000;748
9000;747
9000;806
9000;796
9000;807
9000;809
9000;805
9000;804
9000;804
9000;803
9000;806
9000;803
9000;804
9000;804
9000;758
9000;731
9000;732
9000;734
9000;734
9000;735
9000;733
9000;736
10000;788
10000;772
10000;744
10000;751
10000;810
10000;829
10000;829
10000;785
10000;826
10000;787
10000;782
10000;765
10000;748
10000;764
10000;829
10000;791
10000;798
10000;813
10000;794
10000;820
10000;807
10000;765
10000;785
10000;812
10000;813
10000;761
10000;733
10000;733
10000;732
10000;761
10000;849
10000;820
10000;872
10000;819
10000;784
10000;790
10000;790
10000;779
10000;770
10000;803
10000;768
10000;759
10000;750
10000;759
10000;835
10000;792
10000;820
10000;823
10000;837
10000;757
10000;758
10000;792
10000;772
10000;805
10000;771
10000;735
10000;781
10000;816
10000;825
10000;817
10000;834
10000;813
10000;815
10000;810
10000;752
10000;741
10000;772
10000;757
10000;853
10000;754
10000;752
10000;756
10000;758
10000;747
10000;749
10000;822
10000;816
10000;751
10000;735
10000;735
10000;755
10000;777
10000;760
10000;760
10000;774
10000;756
10000;743
10000;794
10000;892
10000;819
10000;816
10000;833
10000;798
10000;823
10000;796
10000;811
10000;822
10000;771
10000;821
10000;792
