N;time
1000;549
1000;552
1000;560
1000;604
1000;549
1000;538
1000;529
1000;560
1000;581
1000;589
1000;582
1000;570
1000;584
1000;587
1000;538
1000;518
1000;524
1000;521
1000;531
1000;561
1000;534
1000;516
1000;519
1000;518
1000;522
1000;527
1000;526
1000;523
1000;545
1000;570
1000;576
1000;541
1000;547
1000;522
1000;529
1000;535
1000;524
1000;522
1000;528
1000;561
1000;521
1000;581
1000;542
1000;534
1000;529
1000;543
1000;550
1000;532
1000;526
1000;520
1000;523
1000;529
1000;573
1000;563
1000;534
1000;543
1000;557
1000;584
1000;575
1000;564
1000;564
1000;587
1000;574
1000;537
1000;553
1000;537
1000;548
1000;550
1000;544
1000;568
1000;548
1000;587
1000;579
1000;559
1000;544
1000;549
1000;585
1000;578
1000;533
1000;612
1000;561
1000;563
1000;579
1000;544
1000;533
1000;546
1000;530
1000;550
1000;582
1000;577
1000;574
1000;635
1000;515
1000;529
1000;523
1000;514
1000;519
1000;518
1000;518
1000;564
2000;546
2000;553
2000;583
2000;605
2000;605
2000;605
2000;604
2000;600
2000;570
2000;624
2000;614
2000;602
2000;580
2000;555
2000;576
2000;581
2000;551
2000;552
2000;549
2000;570
2000;562
2000;592
2000;562
2000;558
2000;569
2000;577
2000;574
2000;562
2000;563
2000;560
2000;549
2000;553
2000;564
2000;564
2000;570
2000;570
2000;603
2000;598
2000;598
2000;598
2000;539
2000;543
2000;545
2000;554
2000;588
2000;609
2000;594
2000;549
2000;555
2000;620
2000;573
2000;554
2000;553
2000;555
2000;550
2000;592
2000;594
2000;594
2000;594
2000;594
2000;593
2000;592
2000;593
2000;538
2000;580
2000;592
2000;593
2000;592
2000;592
2000;592
2000;593
2000;594
2000;594
2000;591
2000;543
2000;538
2000;539
2000;539
2000;539
2000;538
2000;540
2000;541
2000;542
2000;548
2000;551
2000;556
2000;562
2000;590
2000;556
2000;547
2000;588
2000;611
2000;620
2000;548
2000;546
2000;558
2000;595
2000;547
2000;555
2000;557
3000;596
3000;626
3000;638
3000;650
3000;628
3000;567
3000;569
3000;568
3000;578
3000;580
3000;584
3000;580
3000;602
3000;603
3000;606
3000;598
3000;624
3000;577
3000;631
3000;623
3000;578
3000;585
3000;617
3000;635
3000;656
3000;620
3000;636
3000;595
3000;608
3000;631
3000;621
3000;632
3000;677
3000;625
3000;664
3000;651
3000;598
3000;577
3000;619
3000;628
3000;584
3000;597
3000;593
3000;586
3000;577
3000;577
3000;619
3000;591
3000;643
3000;586
3000;641
3000;604
3000;597
3000;612
3000;607
3000;699
3000;657
3000;652
3000;637
3000;661
3000;662
3000;652
3000;614
3000;658
3000;615
3000;634
3000;601
3000;600
3000;591
3000;600
3000;601
3000;585
3000;592
3000;604
3000;591
3000;612
3000;613
3000;625
3000;591
3000;601
3000;587
3000;612
3000;639
3000;635
3000;636
3000;632
3000;644
3000;645
3000;578
3000;582
3000;575
3000;679
3000;638
3000;625
3000;634
3000;620
3000;627
3000;633
3000;630
3000;625
4000;626
4000;632
4000;631
4000;610
4000;587
4000;588
4000;587
4000;588
4000;583
4000;646
4000;621
4000;634
4000;628
4000;621
4000;624
4000;634
4000;632
4000;591
4000;582
4000;624
4000;628
4000;611
4000;573
4000;597
4000;597
