N;time
10000;21
10000;21
10000;21
10000;20
10000;21
10000;21
10000;21
10000;21
10000;21
10000;20
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;21
10000;20
10000;20
10000;22
10000;20
10000;20
10000;20
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;22
10000;22
10000;22
10000;23
10000;22
10000;21
10000;21
10000;21
10000;21
10000;21
10000;21
10000;20
10000;21
10000;21
10000;21
10000;20
10000;21
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;21
10000;20
10000;20
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;21
10000;20
10000;20
10000;20
10000;20
10000;20
10000;20
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;40
20000;41
20000;40
20000;40
20000;41
20000;41
20000;41
20000;42
20000;43
20000;43
20000;43
20000;42
20000;42
20000;42
20000;42
20000;42
20000;42
20000;42
20000;42
20000;42
20000;41
20000;41
20000;42
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;41
20000;40
20000;40
20000;40
20000;40
20000;41
20000;42
20000;42
20000;41
20000;41
20000;40
20000;41
20000;40
20000;41
20000;42
20000;41
20000;41
20000;40
20000;40
20000;41
20000;44
20000;43
20000;41
20000;42
20000;41
20000;42
20000;41
20000;40
20000;46
20000;41
20000;41
20000;41
20000;41
20000;42
20000;43
20000;44
20000;41
20000;41
20000;40
30000;61
30000;61
30000;62
30000;61
30000;61
30000;61
30000;64
30000;63
30000;63
30000;63
30000;63
30000;63
30000;63
30000;62
30000;62
30000;61
30000;68
30000;87
30000;82
30000;71
30000;68
30000;64
30000;63
30000;64
30000;63
30000;63
30000;63
30000;62
30000;63
30000;61
30000;61
30000;61
30000;61
30000;61
30000;63
30000;60
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;62
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;62
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;63
30000;62
30000;61
30000;62
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
30000;61
40000;81
40000;82
40000;81
40000;82
40000;82
40000;81
40000;82
40000;81
40000;82
40000;81
40000;82
40000;81
40000;81
40000;81
40000;82
40000;81
40000;82
40000;82
40000;82
40000;81
40000;82
40000;81
40000;82
40000;81
40000;81
40000;81
40000;82
40000;81
40000;82
40000;82
40000;82
40000;81
40000;81
40000;82
40000;82
40000;81
40000;81
40000;81
40000;81
40000;81
40000;82
40000;81
40000;81
40000;81
40000;81
40000;81
40000;82
40000;81
40000;81
40000;81
40000;81
40000;82
40000;82
40000;84
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;85
40000;89
40000;86
40000;84
40000;83
40000;81
40000;81
40000;82
40000;81
40000;81
40000;81
40000;81
40000;82
40000;82
40000;82
40000;81
40000;81
40000;82
40000;81
40000;81
40000;81
40000;81
40000;81
40000;81
40000;82
40000;82
40000;82
40000;82
40000;82
40000;81
40000;84
40000;81
40000;81
40000;82
40000;81
40000;81
50000;107
50000;103
50000;103
50000;102
50000;101
50000;102
50000;102
50000;102
50000;101
50000;102
50000;102
50000;101
50000;102
50000;102
50000;102
50000;102
50000;104
50000;106
50000;106
50000;107
50000;107
50000;107
50000;106
50000;107
50000;107
50000;107
50000;106
50000;107
50000;107
50000;107
50000;104
50000;101
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;101
50000;102
50000;101
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;105
50000;107
50000;107
50000;107
50000;107
50000;108
50000;107
50000;107
50000;107
50000;108
50000;107
50000;107
50000;107
50000;107
50000;107
50000;107
50000;108
50000;107
50000;107
50000;108
50000;108
50000;107
50000;108
50000;114
50000;112
50000;107
50000;102
50000;102
50000;102
50000;101
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;102
50000;101
50000;102
50000;101
50000;102
50000;102
50000;102
60000;122
60000;122
60000;122
60000;122
60000;122
60000;122
60000;122
60000;122
60000;123
60000;122
60000;122
60000;122
60000;123
60000;122
60000;122
60000;122
60000;123
60000;122
