N;time
1000;83
1000;34
1000;25
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;23
1000;23
1000;23
1000;23
1000;24
1000;24
1000;23
1000;24
1000;24
1000;23
1000;23
1000;24
1000;23
1000;24
1000;24
1000;23
1000;23
1000;24
1000;23
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;24
1000;23
1000;24
1000;23
1000;24
1000;23
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;23
1000;24
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
1000;24
1000;23
1000;23
1000;23
1000;23
1000;23
1000;23
2000;184
2000;156
2000;122
2000;94
2000;74
2000;60
2000;49
2000;45
2000;44
2000;44
2000;44
2000;44
2000;44
2000;45
2000;60
2000;52
2000;47
2000;47
2000;48
2000;47
2000;47
2000;49
2000;47
2000;45
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;58
2000;64
2000;59
2000;55
2000;45
2000;44
2000;44
2000;43
2000;46
2000;48
2000;45
2000;45
2000;44
2000;44
2000;44
2000;46
2000;46
2000;45
2000;44
2000;45
2000;45
2000;45
2000;45
2000;44
2000;44
2000;45
2000;45
2000;44
2000;44
2000;44
2000;44
2000;44
2000;46
2000;47
2000;45
2000;45
2000;45
2000;45
2000;45
2000;45
2000;45
2000;45
2000;46
2000;45
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;44
2000;43
2000;43
2000;44
2000;44
3000;317
3000;290
3000;268
3000;242
3000;217
3000;199
3000;177
3000;158
3000;145
3000;131
3000;118
3000;107
3000;95
3000;88
3000;82
3000;78
3000;74
3000;71
3000;73
3000;71
3000;66
3000;68
3000;69
3000;70
3000;73
3000;67
3000;66
3000;64
3000;65
3000;64
3000;64
3000;67
3000;66
3000;66
3000;67
3000;73
3000;69
3000;71
3000;70
3000;69
3000;66
3000;66
3000;66
3000;71
3000;74
3000;73
3000;74
3000;74
3000;72
3000;68
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;66
3000;69
3000;71
3000;72
3000;72
3000;67
3000;66
3000;67
3000;67
3000;67
3000;67
3000;67
3000;67
3000;68
3000;67
3000;67
3000;67
3000;67
3000;67
3000;67
3000;68
3000;68
3000;68
3000;68
3000;68
3000;68
3000;68
3000;68
3000;68
3000;68
3000;69
3000;68
3000;68
3000;68
3000;67
3000;68
3000;68
3000;67
3000;70
4000;436
4000;406
4000;386
4000;363
4000;344
4000;328
4000;310
4000;293
4000;277
4000;263
4000;246
4000;232
4000;218
4000;202
4000;189
4000;179
4000;171
4000;162
4000;148
4000;139
4000;131
4000;123
4000;118
4000;112
4000;106
4000;112
4000;104
4000;98
4000;94
4000;91
4000;91
4000;91
4000;91
4000;90
4000;90
4000;90
4000;90
4000;90
4000;91
4000;91
4000;91
4000;91
4000;92
4000;91
4000;99
4000;99
4000;91
4000;89
4000;90
4000;89
4000;87
4000;87
4000;87
4000;94
4000;94
4000;95
4000;95
4000;95
4000;96
4000;96
4000;96
4000;95
4000;96
4000;96
4000;96
4000;93
4000;96
4000;103
4000;93
4000;94
4000;111
4000;93
4000;92
4000;92
4000;91
4000;89
4000;93
4000;98
4000;98
4000;98
4000;98
4000;99
4000;99
4000;98
4000;87
4000;90
4000;90
4000;91
