N;time
1000;125
1000;110
1000;118
1000;116
1000;115
1000;115
1000;113
1000;113
1000;110
1000;105
1000;106
1000;107
1000;109
1000;108
1000;107
1000;105
1000;105
1000;106
1000;105
1000;107
1000;109
1000;107
1000;110
1000;111
1000;110
1000;108
1000;108
1000;106
1000;106
1000;106
1000;107
1000;107
1000;106
1000;108
1000;108
1000;109
1000;108
1000;107
1000;108
1000;108
1000;108
1000;106
1000;106
1000;109
1000;109
1000;109
1000;109
1000;107
1000;107
1000;106
1000;106
1000;106
1000;118
1000;108
1000;112
1000;107
1000;107
1000;108
1000;105
1000;107
1000;112
1000;115
1000;115
1000;114
1000;113
1000;113
1000;112
1000;113
1000;112
1000;113
1000;112
1000;112
1000;112
1000;113
1000;113
1000;113
1000;113
1000;114
1000;113
1000;113
1000;113
1000;112
1000;112
1000;113
1000;112
1000;115
1000;114
1000;114
1000;114
1000;113
1000;114
1000;114
1000;113
1000;113
1000;113
1000;113
1000;113
1000;113
1000;113
1000;114
2000;219
2000;212
2000;223
2000;217
2000;217
2000;222
2000;223
2000;222
2000;222
2000;228
2000;227
2000;225
2000;234
2000;227
2000;218
2000;213
2000;212
2000;210
2000;207
2000;208
2000;207
2000;208
2000;208
2000;207
2000;212
2000;207
2000;209
2000;207
2000;219
2000;222
2000;222
2000;222
2000;221
2000;221
2000;222
2000;222
2000;221
2000;221
2000;220
2000;222
2000;224
2000;222
2000;221
2000;221
2000;222
2000;221
2000;221
2000;221
2000;222
2000;221
2000;222
2000;221
2000;220
2000;221
2000;220
2000;221
2000;220
2000;220
2000;221
2000;221
2000;221
2000;220
2000;220
2000;220
2000;221
2000;220
2000;219
2000;220
2000;220
2000;220
2000;219
2000;220
2000;220
2000;219
2000;219
2000;218
2000;226
2000;222
2000;221
2000;221
2000;221
2000;221
2000;221
2000;219
2000;218
2000;214
2000;216
2000;211
2000;217
2000;219
2000;219
2000;219
2000;219
2000;219
2000;220
2000;219
2000;219
2000;219
2000;219
2000;219
3000;309
3000;302
3000;305
3000;306
3000;303
3000;303
3000;303
3000;304
3000;325
3000;325
3000;324
3000;325
3000;325
3000;325
3000;324
3000;325
3000;326
3000;324
3000;325
3000;327
3000;324
3000;324
3000;324
3000;323
3000;323
3000;323
3000;323
3000;323
3000;323
3000;324
3000;323
3000;323
3000;323
3000;324
3000;324
3000;324
3000;324
3000;323
3000;323
3000;323
3000;310
3000;321
3000;323
3000;323
3000;324
3000;323
3000;324
3000;323
3000;323
3000;324
3000;322
3000;323
3000;323
3000;322
3000;322
3000;322
3000;323
3000;324
3000;324
3000;323
3000;323
3000;323
3000;323
3000;323
3000;323
3000;322
3000;323
3000;323
3000;323
3000;322
3000;322
3000;322
3000;323
3000;322
3000;322
3000;323
3000;322
3000;323
3000;323
3000;323
3000;323
3000;322
3000;320
3000;317
3000;319
3000;307
3000;319
3000;320
3000;320
3000;321
3000;318
3000;319
3000;323
3000;319
3000;316
3000;322
3000;310
3000;320
3000;320
3000;307
4000;421
4000;409
4000;404
4000;400
4000;399
4000;398
4000;397
4000;396
4000;398
4000;402
4000;400
4000;399
4000;399
4000;399
4000;403
4000;401
4000;404
4000;399
4000;400
4000;399
4000;401
4000;401
4000;402
4000;399
4000;398
4000;396
4000;398
4000;402
4000;403
4000;397
4000;399
4000;402
4000;413
4000;430
4000;431
4000;430
4000;430
4000;430
4000;430
4000;430
4000;430
4000;430
4000;430
4000;430
4000;429
4000;429
4000;429
4000;428
4000;428
4000;428
4000;429
4000;429
4000;429
4000;429
4000;429
4000;428
4000;433
4000;431
4000;431
4000;474
4000;447
4000;434
4000;432
4000;431
4000;431
4000;430
4000;431
4000;431
4000;428
4000;429
4000;429
4000;436
4000;414
4000;404
4000;404
4000;400
4000;400
4000;399
4000;401
4000;400
4000;400
4000;401
4000;398
