N;time
1000;80
1000;36
1000;26
1000;26
1000;26
1000;25
1000;25
1000;26
1000;26
1000;26
1000;25
1000;25
1000;25
1000;25
1000;28
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;25
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;25
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;24
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;24
1000;25
1000;25
1000;26
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1000;25
1500;143
1500;93
1500;62
1500;42
1500;35
1500;35
1500;35
1500;35
1500;36
1500;36
1500;36
1500;37
1500;36
1500;35
1500;35
1500;35
1500;34
1500;35
1500;36
1500;34
1500;34
1500;34
1500;34
1500;35
1500;35
1500;36
1500;37
1500;37
1500;35
1500;35
1500;36
1500;35
1500;36
1500;36
1500;35
1500;35
1500;36
1500;36
1500;36
1500;35
1500;35
1500;36
1500;36
1500;36
1500;36
1500;35
1500;35
1500;36
1500;36
1500;36
1500;36
1500;36
1500;36
1500;36
1500;36
1500;36
1500;35
1500;35
1500;36
1500;37
1500;36
1500;35
1500;35
1500;35
1500;35
1500;36
1500;35
1500;35
1500;35
1500;36
1500;35
1500;36
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;36
1500;35
1500;35
1500;35
1500;36
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
1500;35
2000;197
2000;161
2000;132
2000;101
2000;82
2000;64
2000;53
2000;48
2000;47
2000;47
2000;46
2000;46
2000;47
2000;47
2000;47
2000;46
2000;47
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;47
2000;46
2000;46
2000;46
2000;46
2000;47
2000;47
2000;47
2000;47
2000;46
2000;47
2000;46
2000;46
2000;46
2000;46
2000;47
2000;47
2000;47
2000;47
2000;47
2000;47
2000;47
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;48
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;47
2000;47
2000;47
2000;46
2000;46
2000;46
2000;46
2000;47
2000;47
2000;46
2000;47
2000;46
2000;46
2000;47
2000;47
2000;48
2000;47
2000;46
2000;47
2000;47
2000;47
2000;46
2000;46
2000;46
2000;46
2000;47
2000;46
2000;46
2000;46
2000;46
2000;46
2000;46
2000;47
2000;46
2000;45
2000;45
2500;241
2500;221
2500;188
2500;162
2500;138
2500;119
2500;100
2500;86
2500;74
2500;66
2500;60
2500;58
2500;57
2500;57
2500;57
2500;56
2500;56
2500;56
2500;54
2500;55
2500;55
2500;55
2500;55
2500;55
2500;55
2500;55
2500;55
2500;55
2500;60
2500;58
2500;57
2500;56
2500;57
2500;56
2500;56
2500;56
2500;56
2500;55
2500;55
2500;57
2500;57
2500;57
2500;58
2500;58
2500;58
2500;59
2500;59
2500;59
2500;58
2500;59
2500;61
2500;57
2500;55
2500;55
2500;55
2500;56
2500;59
2500;56
2500;55
2500;55
2500;55
2500;55
2500;54
2500;54
2500;55
2500;54
2500;55
2500;55
2500;54
2500;54
2500;55
2500;54
2500;54
2500;53
2500;53
2500;53
2500;54
2500;53
2500;53
2500;53
2500;54
2500;56
2500;55
2500;55
2500;54
2500;54
2500;55
2500;54
2500;54
2500;53
2500;57
2500;54
2500;54
2500;54
2500;55
2500;53
2500;54
2500;54
2500;53
2500;54
3000;307
3000;287
3000;263
3000;238
3000;215
3000;196
3000;175
3000;159
3000;143
3000;128
3000;115
3000;105
3000;96
3000;87
3000;81
3000;75
3000;72
3000;69
3000;67
3000;64
3000;65
3000;65
3000;64
3000;63
3000;63
3000;63
3000;64
3000;65
3000;65
3000;64
3000;64
3000;64
3000;63
3000;63
3000;64
3000;64
3000;64
3000;63
3000;63
3000;64
3000;63
3000;63
3000;64
3000;64
3000;65
3000;63
3000;67
3000;68
3000;66
3000;69
3000;71
3000;70
3000;72
3000;66
3000;65
3000;65
3000;65
3000;63
3000;65
3000;68
3000;66
3000;65
3000;64
3000;64
3000;68
3000;70
3000;65
3000;65
3000;64
3000;65
3000;69
3000;66
3000;70
3000;70
3000;71
3000;72
3000;65
3000;65
3000;64
3000;64
3000;64
3000;64
3000;67
3000;65
3000;65
3000;64
3000;65
3000;67
3000;68
3000;71
3000;66
3000;64
3000;76
3000;70
3000;67
3000;65
3000;66
3000;67
3000;69
3000;70
3500;353
3500;320
3500;301
3500;277
3500;254
3500;237
3500;223
3500;205
3500;188
3500;173
3500;159
3500;147
3500;136
3500;126
3500;120
3500;111
3500;102
3500;94
3500;92
3500;84
3500;80
3500;78
3500;76
3500;75
3500;75
3500;75
3500;76
3500;76
3500;75
3500;75
3500;75
3500;75
3500;74
3500;75
3500;75
3500;75
3500;74
3500;75
3500;75
3500;74
3500;78
3500;77
3500;75
3500;75
3500;79
3500;76
3500;77
3500;77
3500;80
3500;76
3500;76
3500;76
3500;76
3500;76
3500;74
3500;75
3500;75
3500;74
3500;74
3500;80
3500;77
3500;78
3500;75
3500;74
3500;83
3500;86
3500;75
3500;75
3500;75
3500;75
3500;76
3500;76
3500;75
3500;75
3500;86
3500;78
3500;78
3500;76
3500;75
3500;75
3500;75
3500;76
3500;78
3500;77
3500;78
3500;78
3500;79
3500;78
3500;78
3500;78
3500;79
3500;79
3500;82
3500;79
3500;80
3500;80
3500;79
3500;78
3500;78
3500;79
4000;411
4000;388
4000;410
4000;377
4000;359
4000;328
4000;311
4000;323
4000;283
4000;259
4000;240
4000;231
4000;209
4000;216
4000;203
4000;177
4000;167
4000;159
4000;149
4000;140
4000;132
4000;126
4000;119
4000;112
4000;107
4000;102
4000;96
4000;92
4000;88
4000;92
4000;91
4000;91
4000;92
4000;96
4000;93
4000;94
4000;96
4000;95
4000;88
4000;88
4000;88
4000;88
4000;88
4000;88
4000;90
4000;88
4000;88
4000;89
4000;121
4000;117
4000;92
4000;88
4000;91
4000;88
4000;87
4000;84
4000;85
4000;85
4000;85
4000;88
4000;91
4000;89
4000;86
4000;86
4000;86
4000;85
4000;85
4000;85
4000;86
4000;85
4000;86
4000;88
4000;90
4000;88
4000;87
4000;86
4000;85
4000;85
4000;85
4000;86
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4000;84
4000;85
4000;85
4000;85
4000;85
4000;85
4000;85
4500;459
4500;474
4500;462
4500;440
