N;time
1000;119
1000;109
1000;111
1000;114
1000;109
1000;110
1000;108
1000;109
1000;107
1000;108
1000;110
1000;109
1000;109
1000;110
1000;109
1000;110
1000;109
1000;106
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;112
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;110
1000;108
1000;109
1000;110
1000;110
1000;110
1000;112
1000;109
1000;111
1000;110
1000;110
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;109
1000;110
1000;110
1000;110
1000;109
1000;110
1000;110
1000;109
1000;110
1000;109
1000;110
1000;110
1000;110
1000;110
1000;109
1000;108
1000;109
1000;113
1000;113
1000;113
1000;114
1000;112
1000;111
1000;109
1000;110
1000;111
1000;112
1000;113
1000;107
1000;108
1000;107
1000;110
1000;107
1000;110
1000;111
1000;111
1000;111
1000;111
1000;111
1000;118
1000;114
1500;163
1500;159
1500;158
1500;158
1500;161
1500;160
1500;161
1500;158
1500;158
1500;159
1500;159
1500;159
1500;166
1500;161
1500;159
1500;159
1500;160
1500;157
1500;159
1500;157
1500;158
1500;157
1500;157
1500;157
1500;166
1500;171
1500;170
1500;159
1500;155
1500;158
1500;160
1500;161
1500;161
1500;159
1500;162
1500;162
1500;161
1500;164
1500;165
1500;170
1500;170
1500;170
1500;170
1500;162
1500;161
1500;156
1500;155
1500;158
1500;156
1500;156
1500;156
1500;155
1500;160
1500;154
1500;153
1500;165
1500;156
1500;158
1500;158
1500;157
1500;157
1500;156
1500;155
1500;153
1500;161
1500;162
1500;164
1500;164
1500;164
1500;164
1500;167
1500;161
1500;164
1500;162
1500;158
1500;161
1500;163
1500;162
1500;164
1500;164
1500;161
1500;164
1500;164
1500;165
1500;164
1500;165
1500;166
1500;164
1500;169
1500;165
1500;165
1500;164
1500;165
1500;165
1500;164
1500;156
1500;156
1500;154
1500;159
1500;155
2000;211
2000;217
2000;225
2000;232
2000;223
2000;219
2000;219
2000;215
2000;218
2000;210
2000;219
2000;218
2000;218
2000;218
2000;215
2000;238
2000;208
2000;210
2000;219
2000;214
2000;211
2000;206
2000;209
2000;211
2000;208
2000;211
2000;211
2000;206
2000;207
2000;211
2000;208
2000;207
2000;206
2000;206
2000;210
2000;205
2000;202
2000;210
2000;211
2000;208
2000;223
2000;232
2000;223
2000;222
2000;221
2000;216
2000;218
2000;218
2000;213
2000;205
2000;202
2000;212
2000;209
2000;211
2000;206
2000;212
2000;210
2000;205
2000;204
2000;211
2000;207
2000;210
2000;204
2000;208
2000;206
2000;212
2000;209
2000;209
2000;206
2000;205
2000;208
2000;209
2000;207
2000;205
2000;206
2000;210
2000;226
2000;223
2000;224
2000;222
2000;224
2000;225
2000;219
2000;224
2000;221
2000;213
2000;222
2000;224
2000;221
2000;223
2000;219
2000;211
2000;210
2000;213
2000;206
2000;206
2000;208
2000;216
2000;218
2000;208
2500;271
2500;277
2500;269
2500;258
2500;259
2500;255
2500;266
2500;256
2500;255
2500;263
2500;277
2500;266
2500;275
2500;278
2500;264
2500;260
2500;261
2500;272
2500;274
2500;273
2500;278
2500;288
2500;278
2500;278
2500;274
2500;273
2500;272
2500;250
2500;252
2500;253
2500;253
2500;252
2500;255
2500;252
2500;255
2500;255
2500;270
2500;275
2500;278
2500;268
2500;262
2500;264
2500;259
2500;258
2500;259
2500;258
2500;255
2500;252
2500;253
2500;252
2500;255
2500;252
2500;253
2500;254
2500;254
2500;260
2500;276
2500;265
2500;256
2500;259
2500;258
2500;257
2500;260
2500;259
2500;262
2500;261
2500;261
2500;261
2500;262
2500;260
2500;261
2500;277
2500;277
2500;267
2500;260
2500;262
2500;258
2500;256
2500;259
2500;256
2500;255
2500;256
2500;275
2500;254
2500;265
2500;280
2500;276
2500;275
2500;261
2500;257
2500;259
2500;260
2500;257
2500;262
2500;260
2500;263
2500;261
2500;263
2500;257
2500;262
3000;323
3000;312
3000;309
3000;311
3000;312
3000;302
3000;306
3000;309
3000;325
3000;324
3000;324
3000;325
3000;313
3000;309
3000;310
3000;310
3000;314
3000;307
3000;319
3000;318
3000;330
3000;323
3000;325
3000;316
3000;303
3000;302
3000;303
3000;302
3000;320
3000;323
3000;324
3000;325
3000;324
3000;324
3000;325
3000;324
3000;323
3000;324
3000;323
3000;324
3000;325
3000;323
3000;322
3000;324
3000;328
3000;324
3000;324
3000;319
3000;325
3000;321
3000;305
3000;306
3000;310
3000;302
3000;307
3000;301
3000;319
3000;307
3000;308
3000;309
3000;322
3000;326
3000;326
3000;325
3000;327
3000;315
3000;322
3000;325
3000;328
3000;326
3000;307
3000;309
3000;312
3000;304
3000;308
3000;304
3000;305
3000;303
3000;315
3000;307
