N;time
1000;199
1000;206
1000;202
1000;200
1000;195
1000;181
1000;179
1000;180
1000;180
1000;180
2000;704
2000;731
2000;732
2000;730
2000;734
2000;731
2000;730
2000;732
2000;734
2000;783
3000;1781
3000;1663
3000;1787
3000;1758
3000;1627
3000;1756
3000;1691
3000;1705
3000;1683
3000;1712
4000;3259
4000;3055
4000;3178
4000;3192
4000;3139
4000;3161
4000;2984
4000;2928
4000;3207
4000;3106
5000;4862
5000;4777
5000;5044
5000;4547
5000;4698
5000;4697
5000;4777
5000;5070
5000;4653
5000;4851
6000;6734
6000;6860
6000;6879
6000;6821
6000;6768
6000;6883
6000;6927
6000;7081
6000;7053
6000;7045
7000;9365
7000;9559
7000;9803
7000;9785
7000;9341
7000;9567
7000;9494
7000;9487
7000;9132
7000;9324
8000;12372
8000;12411
8000;12242
8000;12498
8000;12125
8000;12205
8000;12583
8000;12433
8000;12084
8000;12144
9000;15616
9000;15376
9000;15574
9000;15196
9000;16043
9000;15795
9000;15410
9000;15175
9000;15273
9000;15961
10000;20093
10000;19440
10000;19709
10000;19818
10000;20341
10000;20121
10000;19674
10000;18402
10000;18251
10000;18810
