N;time
10000;203
10000;198
10000;197
10000;197
10000;196
10000;194
10000;175
10000;175
10000;178
10000;177
10000;177
10000;178
10000;177
10000;177
10000;178
10000;177
10000;177
10000;178
10000;178
10000;178
10000;174
10000;174
10000;176
10000;179
10000;185
10000;189
10000;199
10000;184
10000;176
10000;192
10000;182
10000;180
10000;187
10000;189
10000;179
10000;191
10000;200
10000;207
10000;198
10000;196
10000;188
10000;185
10000;184
10000;183
10000;189
10000;192
10000;195
10000;196
10000;200
10000;197
10000;200
10000;196
10000;191
10000;209
10000;212
10000;181
10000;187
10000;186
10000;183
10000;179
10000;182
10000;183
10000;183
10000;185
10000;185
10000;183
10000;187
10000;182
10000;187
10000;186
10000;188
10000;189
10000;190
10000;187
10000;187
10000;186
10000;187
10000;182
10000;189
10000;187
10000;198
10000;222
10000;202
10000;185
10000;189
10000;200
10000;206
10000;203
10000;264
10000;208
10000;205
10000;208
10000;193
10000;186
10000;181
10000;182
10000;184
10000;184
10000;185
10000;185
20000;379
20000;361
20000;381
20000;357
20000;370
20000;359
20000;361
20000;361
20000;368
20000;381
20000;377
20000;400
20000;392
20000;400
20000;370
20000;364
20000;388
20000;369
20000;365
20000;364
20000;366
20000;365
20000;365
20000;366
20000;365
20000;360
20000;368
20000;370
20000;370
20000;399
20000;398
20000;382
20000;381
20000;375
20000;377
20000;374
20000;382
20000;375
20000;372
20000;373
20000;398
20000;409
20000;412
20000;477
20000;414
20000;403
20000;386
20000;384
20000;379
20000;387
20000;382
20000;387
20000;378
20000;368
20000;364
20000;393
20000;397
20000;391
20000;385
20000;384
20000;403
20000;414
20000;404
20000;379
20000;367
20000;377
20000;398
20000;409
20000;395
20000;396
20000;385
20000;374
20000;385
20000;399
20000;466
20000;404
20000;399
20000;385
20000;403
20000;374
20000;385
20000;383
20000;390
20000;387
20000;391
20000;393
20000;391
20000;390
20000;386
20000;379
20000;366
20000;365
20000;375
20000;364
20000;363
20000;364
20000;363
20000;368
20000;427
20000;403
30000;618
30000;603
30000;591
30000;569
30000;564
30000;559
30000;571
30000;569
30000;583
30000;608
30000;568
30000;569
30000;576
30000;568
30000;608
30000;624
30000;660
30000;598
30000;624
30000;615
30000;620
30000;615
30000;610
30000;609
30000;610
30000;557
30000;582
30000;567
30000;559
30000;561
30000;558
30000;556
30000;578
